Id,Nombre,CostoUnitario,Iva
1476,Consola de videojuegos,3696008,0.19
2090,Tableta gráfica,1481230,0.19
921,Disco duro externo,9148274,0.19
2138,Plancha de ropa con vapor,5885263,0.19
2348,Smartphone,1305344,0.19
2569,Proyector,1795976,0.19
2761,Ratón óptico,6140949,0.19
31,Televisor,640231,0.19
23,Kit de realidad virtual (VR),8690233,0.19
1892,Máquina de afeitar eléctrica,4599959,0.19
1018,Auriculares inalámbricos,9855809,0.19
801,Batería externa,2322690,0.19
1925,Robot aspirador,3232976,0.19
780,Laptop,8296330,0.19
120,Reproductor de DVD/Blu-ray,5117640,0.19
685,Televisor,5294964,0.19
388,Tableta gráfica,1627796,0.19
3,Teclado mecánico,8151006,0.19
1484,Router inalámbrico,8127871,0.19
694,Smartwatch,8654111,0.19
2721,Máquina de afeitar eléctrica,1349584,0.19
308,Máquina de afeitar eléctrica,7158868,0.19
368,Dron,9968344,0.19
2264,Termostato inteligente,4276865,0.19
2111,Termostato inteligente,9775806,0.19
1135,Tablet,789895,0.19
2172,Smartphone,1517013,0.19
2746,Disco duro externo,6030248,0.19
260,Cámara digital,6957851,0.19
369,Cámara digital,5295320,0.19
1948,Televisor,6218644,0.19
523,Televisor,6718339,0.19
1864,Cargador inalámbrico,561014,0.19
2428,Proyector,4481408,0.19
1310,Proyector,8446259,0.19
1205,Termostato inteligente,1672222,0.19
622,Ratón óptico,8020301,0.19
2546,Reloj inteligente para deportes,1819124,0.19
809,Consola de videojuegos,5892208,0.19
2028,Monitor de computadora,2929873,0.19
1854,Monitor de computadora,5174905,0.19
2694,Tableta gráfica,3759578,0.19
1287,Consola de videojuegos,9475783,0.19
909,Disco duro externo,5551920,0.19
2039,Impresora,8783234,0.19
181,Impresora,5196924,0.19
367,Smartwatch,521819,0.19
277,Robot aspirador,3990051,0.19
1758,Reloj inteligente para deportes,9414990,0.19
554,Ratón óptico,7112504,0.19
2606,Reloj inteligente para deportes,4567605,0.19
754,Laptop,618973,0.19
619,Router inalámbrico,5358245,0.19
1091,Sistema de sonido envolvente,1250723,0.19
2869,Disco duro externo,1949239,0.19
621,Termostato inteligente,1728311,0.19
1158,Máquina de afeitar eléctrica,2287436,0.19
836,Consola de videojuegos,6725162,0.19
2948,Smartwatch,9848093,0.19
1488,Auriculares inalámbricos,1177469,0.19
2024,Laptop,6386150,0.19
850,Televisor,7464045,0.19
2591,Tableta gráfica,7014071,0.19
1535,Proyector,9482785,0.19
837,Auriculares inalámbricos,4994337,0.19
1741,Plancha de ropa con vapor,9376507,0.19
2274,Monitor de computadora,9548793,0.19
2491,Reloj inteligente para deportes,3495433,0.19
1388,Impresora,3766128,0.19
346,Reloj inteligente para deportes,7251912,0.19
2346,Robot aspirador,976791,0.19
1825,Consola de videojuegos,3764634,0.19
1998,Kit de realidad virtual (VR),9247317,0.19
298,Reproductor de DVD/Blu-ray,4666939,0.19
1294,Altavoces Bluetooth,7712918,0.19
1039,Router inalámbrico,3778250,0.19
605,Disco duro externo,1291484,0.19
953,Laptop,8380192,0.19
2291,Plancha de ropa con vapor,4071501,0.19
86,Videocámara,6281390,0.19
2783,Robot aspirador,9097880,0.19
1195,Linterna LED,9765745,0.19
2186,Termostato inteligente,9225551,0.19
2873,Tablet,7542363,0.19
1605,Smartphone,1968084,0.19
1333,Linterna LED,3594894,0.19
2627,Cargador inalámbrico,4818771,0.19
2003,Máquina de afeitar eléctrica,9611189,0.19
1658,Consola de videojuegos,4429094,0.19
1174,Consola de videojuegos,8308548,0.19
1414,Linterna LED,9597160,0.19
1584,Monitor de computadora,2812654,0.19
1073,Robot aspirador,1699594,0.19
2099,Consola de videojuegos,7914739,0.19
255,Batería externa,9843282,0.19
786,Linterna LED,5471436,0.19
1993,Consola de videojuegos,1267832,0.19
2422,Tableta gráfica,790867,0.19
576,Disco duro externo,7471877,0.19
511,Auriculares inalámbricos,1633660,0.19
663,Router inalámbrico,6631611,0.19
1408,Monitor de computadora,1755507,0.19
1236,Sistema de sonido envolvente,1974010,0.19
512,Reloj inteligente para deportes,3762943,0.19
1471,Auriculares inalámbricos,6954102,0.19
2080,Auriculares inalámbricos,7809507,0.19
2854,Consola de videojuegos,7997809,0.19
